VideoID,Title,URL,Topic,Status,Talk By
1keCqlDbgKI,Ch02 Autobiography of a Yogi (Nepali) | आमाको स्वर्गवास र रहस्यमय जन्तर | परमहंस योगानन्द |,https://www.youtube.com/watch?v=1keCqlDbgKI,YSS|Nepali|Autobiography of a Yogi |||,,
5cC3Sbpu8is,Ch02 Autobiography of a Yogi (Tamil) | என்‌ அன்னையின்‌ மறைவும்‌ மாயத்‌ தாயத்தும் |பரமஹம்ஸ யோகானந்தர்,https://www.youtube.com/watch?v=5cC3Sbpu8is,YSS|Tamil|Autobiography of a Yogi |||,,
mK5Eft06ZQg,Ch02 Autobiography of a Yogi (Telugu) | పరమహంస యోగానంద | ఒక యోగి ఆత్మకథ,https://www.youtube.com/watch?v=mK5Eft06ZQg,YSS|Telugu|Autobiography of a Yogi |||,,
PjwB94pqdnU,Ch02 Autobiography of a Yogi(Gujarati) | મારી માતાનું મૃત્યુ અને અલૌકિક માદળિયું |,https://www.youtube.com/watch?v=PjwB94pqdnU,YSS|Gujarati|Autobiography of a Yogi |||,,
lTTDq_UOvqk,Ch03 Autobiography of a Yogi (Bengali) | দুই দেহধারী সাধু ( স্বামী প্রণবানন্দ ) | পরমহংস যোগানন্দ,https://www.youtube.com/watch?v=lTTDq_UOvqk,YSS|Bengali|Autobiography of a Yogi |||,,
AgVS4wjfW10,Ch03 Autobiography of a Yogi (Hindi) | द्विशरीरी संत | योगी कथामृत | परमहंस योगानन्द,https://www.youtube.com/watch?v=AgVS4wjfW10,YSS|Hindi|Autobiography of a Yogi |||,,
bFSPaWjlGxE,Ch03 Autobiography of a Yogi (Kannada) | ಎರಡು ದೇಹದ ಸಂತ | ಪರಮಹಂಸ ಯೋಗಾನಂದ | ಯೋಗಿಯ ಆತ್ಮಕಥೆ,https://www.youtube.com/watch?v=bFSPaWjlGxE,YSS|Kannada|Autobiography of a Yogi |||,,
7UwuA4h2gzs,Ch03 Autobiography of a Yogi (Malayalam) | രണ്ടു ശരീരങ്ങളോടുകൂടിയ പുണ്യാത്മാവ് | പരമഹംസ യോഗാനന്ദൻ |,https://www.youtube.com/watch?v=7UwuA4h2gzs,YSS|Malayalam|Autobiography of a Yogi |||,,
GXJ6p8GgqFs,Ch03 Autobiography of a Yogi (Tamil) | ஈருடல்‌ கொண்ட மகான்‌ (ஸ்வாமி பிரணவானந்தர்) பரமஹம்ஸ யோகானந்தர்,https://www.youtube.com/watch?v=GXJ6p8GgqFs,YSS|Tamil|Autobiography of a Yogi |||,,
8AI2cDNEiLk,Ch03 Autobiography of a Yogi (Telugu) | రెండు శరీరాలున్న సాధువు | పరమహంస యోగానంద | ఒక యోగి ఆత్మకథ,https://www.youtube.com/watch?v=8AI2cDNEiLk,YSS|Telugu|Autobiography of a Yogi |||,,
Sql73qhp1ZE,Ch03 Autobiography of a Yogi(Gujarati)|બે કાયાધારી સંત(સ્વામી પ્રણવાનંદ)|પરમહંસ યોગાનંદ |યોગી કથામૃત,https://www.youtube.com/watch?v=Sql73qhp1ZE,YSS|Gujarati|Autobiography of a Yogi |||,,
Mmow217Bi0g,Ch04 Autobiography of a Yogi (Bengali) | আমার হিমালয় পলায়ণে বাধা | পরমহংস যোগানন্দ | যোগী-কথামৃত,https://www.youtube.com/watch?v=Mmow217Bi0g,YSS|Bengali|Autobiography of a Yogi |||,,
n0gak3-sDl4,Ch04 Autobiography of a Yogi (Hindi) | हिमालय की ओर मेरे पलायन में बाधा | योगी कथामृत,https://www.youtube.com/watch?v=n0gak3-sDl4,YSS|Hindi|Autobiography of a Yogi |||,,
XZVgIGUhDZM,Ch04 Autobiography of a Yogi (Kannada)| ನನ್ನ ಹಿಮಾಲಯ ಪಲಾಯನಕ್ಕೆ ಅಡ್ಡಿ | ಪರಮಹಂಸ ಯೋಗಾನಂದ | ಯೋಗಿಯ ಆತ್ಮಕಥೆ,https://www.youtube.com/watch?v=XZVgIGUhDZM,YSS|Kannada|Autobiography of a Yogi |||,,
vdrimGvGR_k,Ch04 Autobiography of a Yogi (Malayalam) | തടസ്സപ്പെട്ട എന്റെ ഹിമാലയപലായനം | പരമഹംസ യോഗാനന്ദൻ |,https://www.youtube.com/watch?v=vdrimGvGR_k,YSS|Malayalam|Autobiography of a Yogi |||,,
a8dNPDSrnGg,Ch04 Autobiography of a Yogi (Tamil) | என்‌ தடைப்பட்ட இமயப்‌ பயணம் | பரமஹம்ஸ யோகானந்தர்,https://www.youtube.com/watch?v=a8dNPDSrnGg,YSS|Tamil|Autobiography of a Yogi |||,,
tcr1BS6Zy-s,Ch04 Autobiography of a Yogi (Telugu)| హిమాలయాలకు పారిపోతుంటే ఆటంకం | పరమహంస యోగానంద |ఒక యోగి ఆత్మకథ,https://www.youtube.com/watch?v=tcr1BS6Zy-s,YSS|Telugu|Autobiography of a Yogi |||,,
Xc13segKqQk,Ch04 Autobiography of a Yogi(Gujarati) | હિમાલય તરફના મારા પલાયનમાં બાધા |,https://www.youtube.com/watch?v=Xc13segKqQk,YSS|Gujarati|Autobiography of a Yogi |||,,
